# RNG draw transcripts, one per corpus entry.
# Format: expression|script|draws
# Generated by EvaluatorContractTests.RegenerateRngCallTranscripts.
# A diff here is a change in how the evaluator consumes randomness.

1d20|7|Next(1,21)
3d6|1,2,3|Next(1,7)*3
100d20|3,17,20,1,11,8|Next(1,21)*100
1d%|42|Next(1,101)
4dF|-1,0,1,-1|Next(-1,2)*4
2d6|1,6|Next(1,7)*2
1d%|100|Next(1,101)
2dF|-1,1|Next(-1,2)*2
4d6dl1|6,1,3,5|Next(1,7)*4
2d20kh1|19,4|Next(1,21)*2
4d6kh2|5,5,5,1|Next(1,7)*4
5d10kl2|10,2,7,2,5|Next(1,11)*5
4d6dh2|4,4,1,6|Next(1,7)*4
6d6dl3|2,2,2,2,5,6|Next(1,7)*6
2d6kh5|3,4|Next(1,7)*2
2d6dl2|3,4|Next(1,7)*2
2d6dl5|3,4|Next(1,7)*2
4d6ro=1|1,3,1,6,5,2|Next(1,7)*6
4d6ro1|1,3,1,6,5,2|Next(1,7)*6
3d6rc<3|1,2,5,4,6|Next(1,7)*5
2d6rc<7|4|Next(1,7)*22
3d6!=6|6,2,3,6,4|Next(1,7)*5
3d6!|6,2,3,4|Next(1,7)*4
10d6!|6,1,2,3,4,5|Next(1,7)*12
1d6!<7|4|Next(1,7)*101
3d6^=6|6,2,3,4|Next(1,7)*4
3d6!!|6,6,2,3,4|Next(1,7)*5
1d6^<7|4|Next(1,7)*101
5d6>4|5,6,1,2,3|Next(1,7)*5
5d6f<3|5,6,1,2,3|Next(1,7)*5
6d10>8f<2|9,1,10,5,2,1|Next(1,11)*6
4d6>3f<2|6,1,4,2|Next(1,7)*4
6d10kh3>7|9,1,10,5,2,8|Next(1,11)*6
4d6!>4|6,2,5,1,3|Next(1,7)*7
2d6+3|4,5|Next(1,7)*2
2d6-1|4,5|Next(1,7)*2
3d20-2d4|10,15,3,2,4|Next(1,21)*3 Next(1,5)*2
1d20+5|11|Next(1,21)
2d6+1d8+2|3,4,7|Next(1,7)*2 Next(1,9)
4d6dl1+2d8kh1-3|6,1,3,5,2,8|Next(1,7)*4 Next(1,9)*2
4d6ro=1kh2|1,3,6,5,4|Next(1,7)*5
6d6!kh3|6,2,3,6,1,5,4|Next(1,7)*9
